title	中译	account
ブギーポップは笑わない	不吉波普不笑	boogiepop_anime
エガオノダイカ	笑容的代价	egaonodaika
どろろ	多罗罗	dororo_anime
私に天使が舞い降りた！	天使降临到我身边	watatentv
盾の勇者の成り上がり	盾之勇者成名录	shieldheroanime
ケムリクサ	烟草	kemurikusa
同居人はひざ、時々、頭のうえ。	同居人	hizaue_pr
revisions リヴィジョンズ	Revisions	revisions_PR
ガーリー?エアフォース	战机少女	GAF_anime
約束のネバーランド	约定的梦幻岛	yakuneba_staff
五等分の花嫁	五等分的花嫁	5Hanayome_anime
グリムノーツ The Animation	格林笔记	grimmsnotes_ta
ドメスティックな彼女	家有女友	domekano_anime
魔法少女特殊戦あすか	魔法少女特殊战	MGSO_asuka
かぐや様は告らせたい～天才たちの恋愛頭脳戦～	辉夜姬想要告白	anime_kaguya
えんどろ～！	endro	endro_anime
荒野のコトブキ飛行隊	飞行队	kotobuki_PR
不機嫌なモノノケ庵 續	不高兴的怪物庵	mononokean_tv
W'z《ウィズ》	W'z《With》	wz_anime
モブサイコ100 Ⅱ	灵能百分百2	mobpsycho_anime
ぱすてるメモリーズ	粉彩回忆	pasumemo
けものフレンズ2	兽娘动物园2	kemono_anime
CIRCLET PRINCESS(サークレット?プリンセス)	CIRCLET PRINCESS	cirpri_anime
臨死!! 江古田ちゃん	临死!!江古田	ekodachan_anime
雨色ココア sideＧ?(第5期)	雨色Cocoa sideG	rainy_cocoa
３Ｄ彼女 リアルガール 第2シーズン	3D女友 第二季	3Dkanojo_anime
賭ケグルイ××	狂赌之渊xx	kakegurui_anime
明治東亰恋伽	明治东京恋咖	meikoi_staff
Dimension ハイスクール	维度高校	dimension_hs
バーチャルさんはみている	虚拟桑在看	dwangoanime
デート?ア?ライブIII	约会大作战3	date_a_info
B-PROJECT～絶頂＊エモーション～	BP绝顶emotion	BPRO_anime
バミューダトライアングル ～カラフル?パストラーレ～	Colopale	colopale
ピアノの森 第2シリーズ	钢琴之森 第二系列	piano_anime_tv
